N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
48	;(Sábado)2026/01/17	;839	;Disminuir por83.1%	; --%	;815	;Disminuir por83.6%	; --%	;418	;Disminuir por17.7%	; --%	;179	;Disminuir por22.5%	; --%	;20	;Disminuir por95.1%	; --%	;13	;Disminuir por95.7%	; --%	;
49	;(Domingo)2026/01/18	;1284	;Disminuir por82.6%	; --%	;1232	;Disminuir por84.3%	; --%	;215	;Disminuir por57.4%	; --%	;108	;Disminuir por55.4%	; --%	;104	;Disminuir por77.0%	; --%	;70	;Disminuir por81.5%	; --%	;
50	;(Lunes)2026/01/19	;474	;Disminuir por96.3%	; --%	;414	;Disminuir por97.2%	; --%	;420	;Aumentar por57.9%	; --%	;196	;Aumentar por86.7%	; --%	;70	;Disminuir por84.3%	; --%	;37	;Disminuir por90.9%	; --%	;
51	;(Martes)2026/01/20	;347	;Disminuir por97.4%	; --%	;364	;Disminuir por97.3%	; --%	;432	;Aumentar por94.6%	; --%	;191	;Aumentar por61.9%	; --%	;30	;Disminuir por93.3%	; --%	;20	;Disminuir por95.2%	; --%	;
52	;(Miércoles)2026/01/21	;517	;Disminuir por93.3%	; --%	;497	;Disminuir por93.5%	; --%	;388	;Disminuir por20.5%	; --%	;178	;Disminuir por29.1%	; --%	;97	;Disminuir por76.1%	; --%	;62	;Disminuir por79.7%	; --%	;
53	;(Jueves)2026/01/22	;723	;Disminuir por87.9%	; --%	;726	;Disminuir por88.6%	; --%	;408	;Disminuir por7.7%	; --%	;202	;Disminuir por3.8%	; --%	;133	;Disminuir por60.2%	; --%	;71	;Disminuir por67.4%	; --%	;
54	;(Viernes)2026/01/23	;776	;Disminuir por88.7%	; --%	;825	;Disminuir por87.9%	; --%	;429	;Disminuir por10.1%	; --%	;205	;Disminuir por1.4%	; --%	;108	;Disminuir por75.4%	; --%	;70	;Disminuir por79.4%	; --%	;
55	;(Sábado)2026/01/24	;1912	;Disminuir por66.5%	; --%	;1973	;Disminuir por65.9%	; --%	;252	;Disminuir por46.3%	; --%	;110	;Disminuir por48.6%	; --%	;69	;Disminuir por83.1%	; --%	;61	;Disminuir por78.7%	; --%	;
56	;(Domingo)2026/01/25	;2385	;Disminuir por70.2%	; --%	;2572	;Disminuir por70.5%	; --%	;148	;Disminuir por72.1%	; --%	;70	;Disminuir por68.8%	; --%	;146	;Disminuir por69.1%	; --%	;154	;Disminuir por57.7%	; --%	;
57	;(Lunes)2026/01/26	;671	;Disminuir por94.5%	; --%	;605	;Disminuir por95.5%	; --%	;418	;Aumentar por40.3%	; --%	;190	;Aumentar por36.7%	; --%	;110	;Disminuir por78.3%	; --%	;69	;Disminuir por85.5%	; --%	;
58	;(Martes)2026/01/27	;615	;Disminuir por93.5%	; --%	;610	;Disminuir por93.3%	; --%	;427	;Aumentar por47.8%	; --%	;191	;Aumentar por40.4%	; --%	;101	;Disminuir por79.9%	; --%	;61	;Disminuir por84.5%	; --%	;
59	;(Miércoles)2026/01/28	;497	;Disminuir por93.5%	; --%	;471	;Disminuir por93.9%	; --%	;403	;Disminuir por7.4%	; --%	;176	;Disminuir por10.7%	; --%	;55	;Disminuir por90.3%	; --%	;26	;Disminuir por96.0%	; --%	;
60	;(Jueves)2026/01/29	;621	;Disminuir por92.1%	; --%	;602	;Disminuir por92.2%	; --%	;401	;Disminuir por10.1%	; --%	;183	;Disminuir por28.8%	; --%	;79	;Disminuir por78.2%	; --%	;51	;Disminuir por80.2%	; --%	;
61	;(Viernes)2026/01/30	;1129	;Disminuir por85.0%	; --%	;1071	;Disminuir por86.4%	; --%	;426	;Disminuir por15.0%	; --%	;181	;Disminuir por13.4%	; --%	;131	;Disminuir por68.5%	; --%	;85	;Disminuir por71.0%	; --%	;
