N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
51	;(Martes)2026/01/20	;38	;Disminuir por74.7%	; --%	;23	;Disminuir por82.2%	; --%	;2522	;Disminuir por5.5%	; --%	;1821	;Disminuir por21.0%	; --%	;58	;Disminuir por89.2%	; --%	;34	;Disminuir por92.4%	; --%	;
52	;(Miércoles)2026/01/21	;83	;Disminuir por25.9%	; --%	;77	;Disminuir por34.2%	; --%	;2852	;Disminuir por19.8%	; --%	;1792	;Disminuir por39.8%	; --%	;254	;Disminuir por57.7%	; --%	;195	;Disminuir por58.2%	; --%	;
53	;(Jueves)2026/01/22	;105	;Disminuir por7.9%	; --%	;79	;Disminuir por29.5%	; --%	;2480	;Disminuir por20.2%	; --%	;1641	;Disminuir por39.0%	; --%	;267	;Disminuir por48.4%	; --%	;201	;Disminuir por48.1%	; --%	;
54	;(Viernes)2026/01/23	;132	;Disminuir por2.2%	; --%	;106	;Disminuir por13.1%	; --%	;2549	;Disminuir por20.0%	; --%	;1584	;Disminuir por44.3%	; --%	;302	;Disminuir por52.0%	; --%	;247	;Disminuir por50.6%	; --%	;
55	;(Sábado)2026/01/24	;79	;Disminuir por38.3%	; --%	;49	;Disminuir por55.0%	; --%	;1968	;Disminuir por35.9%	; --%	;1481	;Disminuir por45.1%	; --%	;200	;Disminuir por64.2%	; --%	;178	;Disminuir por61.3%	; --%	;
56	;(Domingo)2026/01/25	;106	;Disminuir por8.6%	; --%	;60	;Disminuir por42.3%	; --%	;1410	;Disminuir por61.0%	; --%	;1036	;Disminuir por65.3%	; --%	;237	;Disminuir por63.3%	; --%	;164	;Disminuir por68.7%	; --%	;
57	;(Lunes)2026/01/26	;96	;Disminuir por25.0%	; --%	;64	;Disminuir por40.7%	; --%	;2406	;Disminuir por23.1%	; --%	;1668	;Disminuir por42.4%	; --%	;295	;Disminuir por48.7%	; --%	;220	;Disminuir por51.9%	; --%	;
58	;(Martes)2026/01/27	;85	;Disminuir por33.1%	; --%	;70	;Disminuir por36.9%	; --%	;2380	;Disminuir por5.4%	; --%	;1704	;Disminuir por23.9%	; --%	;193	;Disminuir por64.8%	; --%	;139	;Disminuir por67.3%	; --%	;
59	;(Miércoles)2026/01/28	;55	;Disminuir por58.3%	; --%	;59	;Disminuir por46.4%	; --%	;2417	;Disminuir por29.1%	; --%	;1720	;Disminuir por39.5%	; --%	;111	;Disminuir por80.0%	; --%	;81	;Disminuir por81.3%	; --%	;
60	;(Jueves)2026/01/29	;8	;Disminuir por94.7%	; --%	;21	;Disminuir por83.5%	; --%	;561	;Disminuir por82.6%	; --%	;372	;Disminuir por86.7%	; --%	;45	;Disminuir por92.8%	; --%	;30	;Disminuir por93.6%	; --%	;
61	;(Viernes)2026/01/30	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;
62	;(Sábado)2026/01/31	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;
63	;(Domingo)2026/02/01	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;
64	;(Lunes)2026/02/02	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;
65	;(Martes)2026/02/03	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;
66	;(Miércoles)2026/02/04	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;
67	;(Jueves)2026/02/05	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;
68	;(Viernes)2026/02/06	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;
69	;(Sábado)2026/02/07	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;
70	;(Domingo)2026/02/08	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	; --%	;
