N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
43	;(Lunes)2026/01/12	;269	;Disminuir por88.6%	; --%	;260	;Disminuir por88.8%	; --%	;724	;Disminuir por39.6%	; --%	;545	;Disminuir por7.2%	; --%	;171	;Disminuir por54.5%	; --%	;139	;Disminuir por41.6%	; --%	;
44	;(Martes)2026/01/13	;271	;Disminuir por86.7%	; --%	;253	;Disminuir por82.1%	; --%	;642	;Disminuir por48.7%	; --%	;498	;Disminuir por46.5%	; --%	;146	;Disminuir por61.7%	; --%	;105	;Disminuir por62.2%	; --%	;
45	;(Miércoles)2026/01/14	;247	;Disminuir por74.1%	; --%	;229	;Disminuir por63.2%	; --%	;629	;Disminuir por53.8%	; --%	;515	;Disminuir por41.9%	; --%	;143	;Disminuir por56.3%	; --%	;117	;Disminuir por48.5%	; --%	;
46	;(Jueves)2026/01/15	;318	;Disminuir por53.5%	; --%	;278	;Disminuir por49.5%	; --%	;622	;Disminuir por43.8%	; --%	;482	;Disminuir por41.1%	; --%	;158	;Disminuir por42.1%	; --%	;100	;Disminuir por50.0%	; --%	;
47	;(Viernes)2026/01/16	;351	;Disminuir por57.5%	; --%	;319	;Disminuir por43.7%	; --%	;693	;Disminuir por34.3%	; --%	;494	;Disminuir por37.6%	; --%	;146	;Disminuir por51.7%	; --%	;98	;Disminuir por56.3%	; --%	;
48	;(Sábado)2026/01/17	;270	;Disminuir por70.6%	; --%	;252	;Disminuir por69.4%	; --%	;654	;Disminuir por50.3%	; --%	;501	;Disminuir por49.5%	; --%	;18	;Disminuir por93.7%	; --%	;18	;Disminuir por91.7%	; --%	;
49	;(Domingo)2026/01/18	;497	;Disminuir por74.2%	; --%	;388	;Disminuir por75.8%	; --%	;672	;Disminuir por16.5%	; --%	;452	;Disminuir por19.1%	; --%	;141	;Disminuir por50.9%	; --%	;124	;Disminuir por43.6%	; --%	;
50	;(Lunes)2026/01/19	;224	;Disminuir por96.2%	; --%	;199	;Disminuir por94.9%	; --%	;710	;Aumentar por755.4%	; --%	;523	;Aumentar por669.1%	; --%	;78	;Aumentar por20.0%	; --%	;46	;Sin cambios	; --%	;
51	;(Martes)2026/01/20	;146	;Disminuir por96.0%	; --%	;133	;Disminuir por94.2%	; --%	;774	;Disminuir por39.4%	; --%	;607	;Disminuir por1.9%	; --%	;20	;Disminuir por94.8%	; --%	;18	;Disminuir por94.0%	; --%	;
52	;(Miércoles)2026/01/21	;312	;Disminuir por79.6%	; --%	;205	;Disminuir por80.2%	; --%	;656	;Disminuir por60.6%	; --%	;435	;Disminuir por59.2%	; --%	;118	;Disminuir por63.2%	; --%	;62	;Disminuir por76.0%	; --%	;
