Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/08/11 10:06:17	;
Operador: Touristcheck	;
Objetivo de estadísticas: C Saiz De Carlos	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2026/06/01 00:00:00 - 2026/08/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
448783	;Aumentar por148.7%	;Disminuir por14.0%	;274829	;Aumentar por251.6%	;Disminuir por13.1%	;757	;Aumentar por169.4%	;Disminuir por52.1%	;3317	;Disminuir por8.1%	;Disminuir por26.9%	;8592	;Aumentar por253.6%	;Aumentar por10.8%	;13714	;Aumentar por188.8%	;Aumentar por16.2%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
36	;06/02 11:00 - 12:00	;110	;Aumentar por23.6%	;Disminuir por14.1%	;44	;Aumentar por37.5%	;Aumentar por18.9%	;0	; --%	; --%	;7	;Aumentar por75.0%	;Disminuir por22.2%	;2	; --%	;Aumentar por100.0%	;1	; --%	;Disminuir por50.0%	;
37	;06/02 12:00 - 13:00	;46	;Aumentar por31.4%	;Disminuir por50.0%	;24	;Aumentar por71.4%	;Sin cambios	;0	; --%	; --%	;1	;Sin cambios	;Sin cambios	;2	;Aumentar por100.0%	;Sin cambios	;7	;Aumentar por250.0%	;Disminuir por22.2%	;
38	;06/02 13:00 - 14:00	;45	;Aumentar por73.1%	;Aumentar por15.4%	;29	;Disminuir por31.0%	;Aumentar por107.1%	;0	; --%	; --%	;3	;Aumentar por50.0%	;Aumentar por50.0%	;2	; --%	; --%	;7	;Aumentar por133.3%	; --%	;
39	;06/02 14:00 - 15:00	;25	;Aumentar por108.3%	;Disminuir por32.4%	;24	;Aumentar por500.0%	;Aumentar por50.0%	;0	; --%	; --%	;1	;Disminuir por75.0%	;Disminuir por50.0%	;0	; --%	; --%	;2	;Aumentar por100.0%	;Aumentar por100.0%	;
40	;06/02 15:00 - 16:00	;37	;Aumentar por15.6%	;Aumentar por8.8%	;17	;Disminuir por26.1%	;Aumentar por41.7%	;0	;Disminuir por100.0%	; --%	;6	;Aumentar por100.0%	;Aumentar por200.0%	;0	; --%	;Disminuir por100.0%	;3	;Aumentar por200.0%	;Disminuir por50.0%	;
41	;06/02 16:00 - 17:00	;30	;Aumentar por25.0%	;Disminuir por67.4%	;37	;Aumentar por1750.0%	;Aumentar por15.6%	;0	; --%	; --%	;5	;Aumentar por25.0%	;Aumentar por25.0%	;1	; --%	;Sin cambios	;2	;Disminuir por50.0%	;Disminuir por50.0%	;
42	;06/02 17:00 - 18:00	;80	;Aumentar por433.3%	;Disminuir por20.0%	;18	;Aumentar por200.0%	;Disminuir por55.0%	;0	; --%	; --%	;3	;Disminuir por40.0%	;Aumentar por200.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;5	; --%	;Aumentar por25.0%	;
43	;06/02 18:00 - 19:00	;102	;Aumentar por920.0%	;Aumentar por1.0%	;40	;Aumentar por300.0%	;Aumentar por90.5%	;0	; --%	; --%	;1	;Disminuir por75.0%	;Disminuir por50.0%	;3	; --%	;Aumentar por200.0%	;7	;Aumentar por600.0%	;Aumentar por40.0%	;
44	;06/02 19:00 - 20:00	;223	;Aumentar por1615.4%	;Aumentar por23.2%	;58	;Aumentar por544.4%	;Disminuir por7.9%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;5	;Aumentar por400.0%	;Aumentar por150.0%	;9	; --%	;Aumentar por800.0%	;
45	;06/02 20:00 - 21:00	;137	;Aumentar por1857.1%	;Disminuir por2.8%	;38	;Aumentar por1800.0%	;Disminuir por13.6%	;0	; --%	; --%	;0	;Disminuir por100.0%	; --%	;1	; --%	;Sin cambios	;2	; --%	;Disminuir por33.3%	;
