N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
41	;06/02 16:00 - 17:00	;62	;Aumentar por59.0%	;Aumentar por10.7%	;59	;Aumentar por22.9%	;Disminuir por28.0%	;0	; --%	;Disminuir por100.0%	;9	;Disminuir por43.8%	;Aumentar por12.5%	;2	;Aumentar por100.0%	;Aumentar por100.0%	;6	;Aumentar por200.0%	;Disminuir por50.0%	;
42	;06/02 17:00 - 18:00	;74	;Aumentar por100.0%	;Aumentar por15.6%	;65	;Aumentar por6.6%	;Disminuir por38.7%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;10	;Disminuir por41.2%	;Disminuir por41.2%	;0	; --%	; --%	;10	;Aumentar por900.0%	;Disminuir por16.7%	;
43	;06/02 18:00 - 19:00	;81	;Aumentar por800.0%	;Disminuir por37.2%	;74	;Aumentar por208.3%	;Disminuir por38.8%	;0	; --%	; --%	;8	;Disminuir por11.1%	;Disminuir por46.7%	;1	; --%	;Disminuir por75.0%	;3	; --%	;Disminuir por70.0%	;
44	;06/02 19:00 - 20:00	;100	;Aumentar por1150.0%	;Aumentar por42.9%	;127	;Aumentar por1311.1%	;Aumentar por39.6%	;1	;Sin cambios	; --%	;8	;Disminuir por33.3%	;Aumentar por14.3%	;3	; --%	;Aumentar por200.0%	;12	;Aumentar por1100.0%	;Disminuir por20.0%	;
45	;06/02 20:00 - 21:00	;73	;Aumentar por1725.0%	;Aumentar por23.7%	;100	;Aumentar por1328.6%	;Aumentar por51.5%	;1	; --%	; --%	;6	;Disminuir por53.8%	;Disminuir por33.3%	;1	;Sin cambios	;Disminuir por50.0%	;6	; --%	;Disminuir por60.0%	;
46	;06/02 21:00 - 22:00	;58	;Aumentar por383.3%	;Aumentar por81.3%	;103	;Aumentar por1960.0%	;Aumentar por98.1%	;1	; --%	; --%	;9	;Aumentar por80.0%	;Aumentar por125.0%	;2	; --%	; --%	;16	; --%	;Aumentar por166.7%	;
47	;06/02 22:00 - 23:00	;50	;Aumentar por1150.0%	;Aumentar por28.2%	;85	;Aumentar por1600.0%	;Aumentar por73.5%	;1	; --%	; --%	;5	;Aumentar por150.0%	;Disminuir por28.6%	;0	; --%	; --%	;7	; --%	;Aumentar por250.0%	;
48	;06/02 23:00 - 24:00	;51	;Aumentar por5000.0%	;Aumentar por325.0%	;50	; --%	;Aumentar por42.9%	;0	; --%	; --%	;1	;Disminuir por50.0%	;Disminuir por75.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;9	; --%	;Aumentar por50.0%	;
49	;06/03 00:00 - 01:00	;6	;Aumentar por500.0%	;Disminuir por57.1%	;8	;Aumentar por700.0%	;Aumentar por60.0%	;0	; --%	; --%	;3	; --%	;Sin cambios	;0	; --%	; --%	;2	; --%	;Sin cambios	;
50	;06/03 01:00 - 02:00	;2	; --%	; --%	;8	; --%	; --%	;0	; --%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;
51	;06/03 02:00 - 03:00	;1	; --%	;Sin cambios	;1	; --%	;Sin cambios	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
52	;06/03 03:00 - 04:00	;1	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;1	;Sin cambios	;Disminuir por66.7%	;0	; --%	; --%	;1	; --%	; --%	;
53	;06/03 04:00 - 05:00	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;1	; --%	;Sin cambios	;
54	;06/03 05:00 - 06:00	;0	;Disminuir por100.0%	; --%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
55	;06/03 06:00 - 07:00	;3	;Aumentar por200.0%	;Aumentar por50.0%	;3	;Sin cambios	;Aumentar por50.0%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;1	; --%	; --%	;
56	;06/03 07:00 - 08:00	;9	;Disminuir por10.0%	;Sin cambios	;18	;Sin cambios	;Disminuir por18.2%	;1	;Disminuir por66.7%	;Disminuir por50.0%	;8	;Disminuir por11.1%	;Sin cambios	;1	; --%	; --%	;6	; --%	;Aumentar por20.0%	;
57	;06/03 08:00 - 09:00	;21	;Aumentar por250.0%	;Aumentar por75.0%	;31	;Aumentar por24.0%	;Disminuir por32.6%	;3	; --%	;Disminuir por25.0%	;24	;Aumentar por9.1%	;Aumentar por20.0%	;0	; --%	; --%	;5	; --%	;Disminuir por28.6%	;
