Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/08/11 10:04:29	;
Operador: Touristcheck	;
Objetivo de estadísticas: C Mayor - Baluarte Del Principe	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2026/06/01 00:00:00 - 2026/08/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
331870	;Aumentar por39.9%	;Disminuir por38.7%	;247340	;Aumentar por41.5%	;Disminuir por35.7%	;17423	;Disminuir por34.7%	;Disminuir por13.5%	;3945	;Disminuir por56.2%	;Aumentar por13.8%	;10821	;Aumentar por61.1%	;Disminuir por17.3%	;2776	;Aumentar por97.0%	;Aumentar por29.4%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
38	;06/02 13:00 - 14:00	;112	;Disminuir por4.3%	;Disminuir por1.8%	;123	;Aumentar por48.2%	;Aumentar por51.9%	;17	;Aumentar por70.0%	;Aumentar por54.5%	;1	; --%	; --%	;8	;Disminuir por11.1%	;Aumentar por14.3%	;0	;Disminuir por100.0%	; --%	;
39	;06/02 14:00 - 15:00	;66	;Aumentar por43.5%	;Disminuir por32.7%	;56	;Aumentar por7.7%	;Disminuir por49.1%	;15	;Disminuir por31.8%	;Aumentar por7.1%	;1	;Sin cambios	;Disminuir por50.0%	;4	;Aumentar por300.0%	;Disminuir por42.9%	;0	; --%	;Disminuir por100.0%	;
40	;06/02 15:00 - 16:00	;89	;Aumentar por39.1%	;Disminuir por9.2%	;60	;Aumentar por30.4%	;Disminuir por4.8%	;11	;Disminuir por26.7%	;Disminuir por35.3%	;3	;Aumentar por200.0%	;Aumentar por200.0%	;3	;Aumentar por200.0%	;Sin cambios	;1	; --%	;Sin cambios	;
41	;06/02 16:00 - 17:00	;65	;Aumentar por22.6%	;Disminuir por52.2%	;45	;Aumentar por221.4%	;Disminuir por44.4%	;7	;Disminuir por46.2%	;Disminuir por12.5%	;0	; --%	; --%	;4	;Aumentar por100.0%	;Disminuir por33.3%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;
42	;06/02 17:00 - 18:00	;76	;Aumentar por261.9%	;Disminuir por34.5%	;56	;Disminuir por3.4%	;Disminuir por63.9%	;13	;Disminuir por7.1%	;Aumentar por8.3%	;0	; --%	;Disminuir por100.0%	;12	;Aumentar por1100.0%	;Disminuir por7.7%	;2	; --%	; --%	;
43	;06/02 18:00 - 19:00	;147	;Aumentar por635.0%	;Disminuir por16.0%	;114	;Aumentar por776.9%	;Aumentar por35.7%	;13	;Aumentar por18.2%	;Aumentar por8.3%	;0	;Disminuir por100.0%	; --%	;12	; --%	;Aumentar por20.0%	;0	; --%	; --%	;
44	;06/02 19:00 - 20:00	;266	;Aumentar por3700.0%	;Aumentar por31.0%	;168	;Aumentar por3260.0%	;Aumentar por41.2%	;8	;Aumentar por33.3%	;Aumentar por33.3%	;1	; --%	; --%	;12	; --%	;Disminuir por7.7%	;2	;Aumentar por100.0%	; --%	;
45	;06/02 20:00 - 21:00	;245	;Aumentar por3983.3%	;Aumentar por62.3%	;160	;Aumentar por5233.3%	;Aumentar por29.0%	;4	;Disminuir por42.9%	;Disminuir por55.6%	;0	; --%	; --%	;7	;Aumentar por600.0%	;Aumentar por40.0%	;0	; --%	; --%	;
46	;06/02 21:00 - 22:00	;182	;Aumentar por9000.0%	;Aumentar por50.4%	;180	;Aumentar por4400.0%	;Aumentar por74.8%	;10	;Aumentar por66.7%	;Aumentar por150.0%	;1	; --%	; --%	;2	; --%	;Disminuir por33.3%	;4	; --%	; --%	;
47	;06/02 22:00 - 23:00	;119	;Aumentar por2280.0%	;Aumentar por133.3%	;75	; --%	;Aumentar por78.6%	;3	;Sin cambios	;Disminuir por25.0%	;0	; --%	; --%	;3	;Aumentar por200.0%	;Aumentar por200.0%	;0	; --%	; --%	;
48	;06/02 23:00 - 24:00	;16	;Aumentar por300.0%	;Disminuir por42.9%	;34	; --%	;Aumentar por126.7%	;0	;Disminuir por100.0%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
49	;06/03 00:00 - 01:00	;12	; --%	;Aumentar por9.1%	;12	; --%	;Aumentar por500.0%	;2	; --%	;Sin cambios	;0	; --%	; --%	;2	; --%	;Sin cambios	;1	; --%	; --%	;
50	;06/03 01:00 - 02:00	;3	; --%	; --%	;1	; --%	; --%	;1	;Sin cambios	;Sin cambios	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;
51	;06/03 02:00 - 03:00	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
52	;06/03 03:00 - 04:00	;0	; --%	; --%	;0	; --%	; --%	;2	;Aumentar por100.0%	;Aumentar por100.0%	;2	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
53	;06/03 04:00 - 05:00	;1	; --%	;Disminuir por50.0%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
54	;06/03 05:00 - 06:00	;1	;Disminuir por50.0%	; --%	;3	;Aumentar por50.0%	;Aumentar por200.0%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;0	; --%	;Disminuir por100.0%	;
55	;06/03 06:00 - 07:00	;5	;Aumentar por150.0%	; --%	;5	; --%	;Aumentar por150.0%	;7	; --%	;Aumentar por75.0%	;6	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
56	;06/03 07:00 - 08:00	;4	;Aumentar por33.3%	;Disminuir por66.7%	;13	;Aumentar por1200.0%	;Aumentar por30.0%	;14	;Aumentar por55.6%	;Aumentar por27.3%	;4	;Aumentar por100.0%	;Aumentar por100.0%	;3	; --%	;Sin cambios	;0	; --%	; --%	;
57	;06/03 08:00 - 09:00	;15	;Aumentar por87.5%	;Disminuir por11.8%	;10	;Disminuir por28.6%	;Disminuir por44.4%	;26	;Aumentar por85.7%	;Aumentar por36.8%	;3	; --%	;Aumentar por200.0%	;3	;Aumentar por200.0%	;Disminuir por57.1%	;0	; --%	; --%	;
58	;06/03 09:00 - 10:00	;48	;Aumentar por152.6%	;Aumentar por2.1%	;10	;Aumentar por66.7%	;Disminuir por60.0%	;23	;Sin cambios	;Disminuir por11.5%	;2	; --%	;Sin cambios	;4	;Aumentar por33.3%	;Sin cambios	;0	; --%	;Disminuir por100.0%	;
59	;06/03 10:00 - 11:00	;186	;Aumentar por77.1%	;Aumentar por37.8%	;100	;Aumentar por334.8%	;Aumentar por69.5%	;33	;Disminuir por5.7%	;Aumentar por10.0%	;3	;Aumentar por50.0%	;Aumentar por200.0%	;8	;Aumentar por300.0%	;Disminuir por33.3%	;2	; --%	; --%	;
60	;06/03 11:00 - 12:00	;409	;Aumentar por157.2%	;Aumentar por66.3%	;218	;Aumentar por419.0%	;Aumentar por56.8%	;19	;Aumentar por11.8%	;Disminuir por24.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;11	;Aumentar por266.7%	;Disminuir por15.4%	;1	;Sin cambios	;Sin cambios	;
61	;06/03 12:00 - 13:00	;142	;Aumentar por153.6%	;Disminuir por3.4%	;242	;Aumentar por255.9%	;Aumentar por62.4%	;13	;Disminuir por38.1%	;Disminuir por31.6%	;0	;Disminuir por100.0%	; --%	;4	;Aumentar por100.0%	;Disminuir por33.3%	;1	; --%	; --%	;
62	;06/03 13:00 - 14:00	;112	;Aumentar por646.7%	;Disminuir por29.1%	;146	;Aumentar por1023.1%	;Aumentar por14.1%	;17	;Aumentar por88.9%	;Aumentar por41.7%	;0	;Disminuir por100.0%	; --%	;10	; --%	;Aumentar por11.1%	;0	; --%	;Disminuir por100.0%	;
63	;06/03 14:00 - 15:00	;53	; --%	;Disminuir por24.3%	;52	; --%	;Disminuir por56.7%	;20	; --%	;Aumentar por11.1%	;3	; --%	; --%	;6	; --%	;Disminuir por33.3%	;2	; --%	;Aumentar por100.0%	;
64	;06/03 15:00 - 16:00	;95	; --%	;Aumentar por28.4%	;91	; --%	;Disminuir por2.2%	;61	; --%	;Aumentar por306.7%	;31	; --%	; --%	;1	; --%	;Disminuir por80.0%	;1	; --%	;Sin cambios	;
65	;06/03 16:00 - 17:00	;136	; --%	;Aumentar por29.5%	;96	; --%	;Aumentar por41.2%	;30	; --%	;Aumentar por233.3%	;20	; --%	; --%	;4	; --%	;Disminuir por42.9%	;0	; --%	;Disminuir por100.0%	;
66	;06/03 17:00 - 18:00	;159	; --%	;Aumentar por6.0%	;127	; --%	;Aumentar por10.4%	;23	; --%	;Aumentar por91.7%	;13	; --%	; --%	;10	; --%	;Disminuir por9.1%	;0	; --%	;Disminuir por100.0%	;
