Análisis de tipo multiobjetivo	;
Información básica	;
Hora de exportación: 2026/08/10 14:47:57	;
Operador: Touristcheck	;
Objetivo de estadísticas: Avda. Del Mar - Marcelino Roca	;
Exportar contenido:Número de personas,Vehículos a motor,Vehículos sin motor	;
Hora del informe: 2026/06/01 00:00:00 - 2026/08/31 23:59:59	;

Personas totales	; 	; 	; 	; 	; 	;Total de vehículos a motor	; 	; 	; 	; 	; 	;Total de vehículos sin motor	;
Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
890768	;Aumentar por77.9%	;Disminuir por26.6%	;949773	;Aumentar por79.9%	;Disminuir por26.7%	;31305	;Disminuir por21.0%	;Disminuir por16.3%	;16274	;Disminuir por18.6%	;Disminuir por10.1%	;36251	;Aumentar por49.8%	;Disminuir por19.6%	;31231	;Aumentar por76.0%	;Disminuir por19.2%	;

N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
36	;06/02 11:00 - 12:00	;336	;Aumentar por107.4%	;Disminuir por16.8%	;393	;Aumentar por87.1%	;Disminuir por23.7%	;58	;Aumentar por52.6%	;Aumentar por16.0%	;35	;Aumentar por84.2%	;Aumentar por52.2%	;24	;Aumentar por700.0%	;Aumentar por4.3%	;16	;Aumentar por300.0%	;Disminuir por15.8%	;
37	;06/02 12:00 - 13:00	;407	;Aumentar por167.8%	;Disminuir por16.6%	;344	;Aumentar por166.7%	;Disminuir por30.8%	;44	;Aumentar por57.1%	;Aumentar por10.0%	;21	;Aumentar por23.5%	;Sin cambios	;36	;Aumentar por157.1%	;Disminuir por12.2%	;18	;Aumentar por157.1%	;Disminuir por40.0%	;
38	;06/02 13:00 - 14:00	;275	;Aumentar por60.8%	;Disminuir por7.4%	;222	;Aumentar por144.0%	;Disminuir por11.6%	;45	;Aumentar por18.4%	;Aumentar por32.4%	;25	;Aumentar por127.3%	;Aumentar por31.6%	;28	;Aumentar por100.0%	;Sin cambios	;20	; --%	;Disminuir por9.1%	;
39	;06/02 14:00 - 15:00	;189	;Aumentar por263.5%	;Disminuir por22.5%	;154	;Aumentar por133.3%	;Disminuir por13.5%	;38	;Aumentar por58.3%	;Aumentar por35.7%	;14	;Aumentar por55.6%	;Aumentar por40.0%	;14	;Aumentar por133.3%	;Disminuir por53.3%	;10	;Aumentar por400.0%	;Disminuir por58.3%	;
40	;06/02 15:00 - 16:00	;195	;Aumentar por230.5%	;Aumentar por42.3%	;149	;Aumentar por36.7%	;Aumentar por10.4%	;34	;Aumentar por21.4%	;Disminuir por10.5%	;11	;Disminuir por15.4%	;Disminuir por26.7%	;22	;Aumentar por175.0%	;Sin cambios	;6	;Disminuir por40.0%	;Disminuir por57.1%	;
41	;06/02 16:00 - 17:00	;204	;Aumentar por134.5%	;Aumentar por4.6%	;173	;Aumentar por293.2%	;Aumentar por18.5%	;30	;Aumentar por20.0%	;Disminuir por3.2%	;14	;Aumentar por40.0%	;Disminuir por36.4%	;19	;Aumentar por171.4%	;Disminuir por38.7%	;7	;Aumentar por133.3%	;Disminuir por41.7%	;
42	;06/02 17:00 - 18:00	;162	;Aumentar por72.3%	;Disminuir por13.8%	;249	;Aumentar por308.2%	;Aumentar por13.2%	;19	;Disminuir por45.7%	;Disminuir por32.1%	;15	;Aumentar por15.4%	;Sin cambios	;24	;Aumentar por700.0%	;Sin cambios	;23	;Aumentar por360.0%	;Aumentar por9.5%	;
43	;06/02 18:00 - 19:00	;259	;Aumentar por502.3%	;Disminuir por23.8%	;492	;Aumentar por946.8%	;Aumentar por12.6%	;23	;Disminuir por20.7%	;Aumentar por9.5%	;16	;Aumentar por33.3%	;Aumentar por33.3%	;21	;Aumentar por600.0%	;Disminuir por30.0%	;24	;Aumentar por1100.0%	;Disminuir por22.6%	;
44	;06/02 19:00 - 20:00	;549	;Aumentar por846.6%	;Aumentar por13.2%	;746	;Aumentar por1676.2%	;Aumentar por22.7%	;20	;Disminuir por23.1%	;Aumentar por53.8%	;16	;Aumentar por166.7%	;Aumentar por220.0%	;43	;Aumentar por975.0%	;Aumentar por104.8%	;37	;Aumentar por3600.0%	;Aumentar por94.7%	;
45	;06/02 20:00 - 21:00	;829	;Aumentar por2970.4%	;Aumentar por58.2%	;883	;Aumentar por2659.4%	;Aumentar por69.5%	;17	;Disminuir por10.5%	;Aumentar por6.3%	;4	;Sin cambios	;Disminuir por50.0%	;42	;Aumentar por4100.0%	;Aumentar por35.5%	;36	; --%	;Disminuir por2.7%	;
